case,total_e,d_side
vac_L1_001,-56.11657,0.0
vac_L1_006,-56.1157,0.557526
vac_L2_001,-56.11541,0.844575
vac_L1_000,-56.11517,1.43701
vac_L2_000,-56.11511,1.74322
vac_L2_004,-56.11394,1.74322
vac_L2_006,-56.11379,2.056725
vac_L1_004,-56.11317,2.707877
vac_L1_005,-56.11308,3.3958
vac_L2_002,-56.11306,3.3958
vac_L1_002,-56.11307,3.755661
vac_L2_005,-56.11298,4.512689
vac_L2_009,-56.11309,4.91268
vac_L1_003,-56.11297,5.329358
vac_L2_003,-56.11306,5.765005
vac_L1_009,-56.11311,6.222474
vac_L2_007,-56.1131,7.218628
vac_L1_007,-56.11283,7.768634
vac_L2_010,-56.11303,7.768634
vac_L1_008,-56.11309,9.020819
vac_L2_008,-56.11312,9.759875
vac_L2_011,-56.11305,10.624589
vac_L1_010,-56.11285,11.715466
vac_L2_012,-56.11275,13.480543
